
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:52                       -82.43373           9996.33133 

2014:14:13:01:52                       -80.27399           9996.33133 

2014:14:13:01:52                       -80.27399           9996.33133 

2014:14:13:01:302                      -80.27399           9996.33133 

2014:14:13:01:302                      -80.27399           9996.33133 

2014:14:13:01:302                      -80.27399          10007.53013 

2014:14:13:01:302                      -80.27399          10007.53013 

2014:14:13:01:302                      -80.22134          10007.53013 

2014:14:13:01:302                      -80.22134          10007.53013 

2014:14:13:01:552                      -80.22134          10007.53013 

2014:14:13:01:552                      -80.22134          10007.53013 

2014:14:13:01:552                      -80.22134          10667.75698 

2014:14:13:01:552                      -80.22134          10667.75698 

2014:14:13:01:552                      -78.36369          10667.75698 

2014:14:13:01:552                      -78.36369          10667.75698 

2014:14:13:01:803                      -78.36369          10667.75698 

2014:14:13:01:803                      -78.36369          10667.75698 

2014:14:13:01:803                      -78.36369          10821.93678 

2014:14:13:01:803                      -78.36369          10821.93678 

2014:14:13:01:803                      -76.72916          10821.93678 

2014:14:13:01:803                      -76.72916          10821.93678 

2014:14:13:01:53                       -76.72916          10821.93678 

2014:14:13:01:53                       -76.72916          10821.93678 

2014:14:13:01:53                       -76.72916          11301.17228 

2014:14:13:01:53                       -76.72916          11301.17228 

2014:14:13:01:53                       -76.36618          11301.17228 

2014:14:13:01:53                       -76.36618          11301.17228 

2014:14:13:01:303                      -76.36618          11301.17228 

2014:14:13:01:303                      -76.36618          11301.17228 

2014:14:13:01:303                      -76.36618          11351.34833 

2014:14:13:01:303                      -76.36618          11351.34833 

2014:14:13:01:303                      -74.98421          11351.34833 

2014:14:13:01:303                      -74.98421          11351.34833 

2014:14:13:01:553                      -74.98421          11351.34833 

2014:14:13:01:553                      -74.98421          11351.34833 

2014:14:13:01:553                      -74.98421          11505.71173 

2014:14:13:01:553                      -74.98421          11505.71173 

2014:14:13:01:553                      -73.74027          11505.71173 

2014:14:13:01:553                      -73.74027          11505.71173 

2014:14:13:01:803                      -73.74027          11505.71173 

2014:14:13:01:803                      -73.74027          11505.71173 

2014:14:13:01:803                      -73.74027          11565.71138 

2014:14:13:01:803                      -73.74027          11565.71138 

2014:14:13:01:803                      -69.44933          11565.71138 

2014:14:13:01:803                      -69.44933          11565.71138 

2014:14:13:01:53                       -69.44933          11565.71138 

2014:14:13:01:53                       -69.44933          11565.71138 

2014:14:13:01:53                       -69.44933          11856.98174 

2014:14:13:01:53                       -69.44933          11856.98174 

2014:14:13:01:53                       -69.34211          11856.98174 

2014:14:13:01:53                       -69.34211          11856.98174 

2014:14:13:01:303                      -69.34211          11856.98174 

2014:14:13:01:303                      -69.34211          11856.98174 

2014:14:13:01:303                      -69.34211          12061.27236 

2014:14:13:01:303                      -69.34211          12061.27236 

2014:14:13:01:303                       -69.3018          12061.27236 

2014:14:13:01:303                       -69.3018          12061.27236 

2014:14:13:01:554                       -69.3018          12061.27236 

2014:14:13:01:554                       -69.3018          12061.27236 

2014:14:13:01:554                       -69.3018          12859.90266 

2014:14:13:01:554                       -69.3018          12859.90266 

2014:14:13:01:554                      -68.53807          12859.90266 

2014:14:13:01:554                      -68.53807          12859.90266 

2014:14:13:01:804                      -68.53807          12859.90266 

2014:14:13:01:804                      -68.53807          12859.90266 

2014:14:13:01:804                      -68.53807          12924.90629 

2014:14:13:01:804                      -68.53807          12924.90629 

2014:14:13:01:804                      -68.37802          12924.90629 

2014:14:13:01:804                      -68.37802          12924.90629 

2014:14:13:01:54                       -68.37802          12924.90629 

2014:14:13:01:54                       -68.37802          12924.90629 

2014:14:13:01:54                       -68.37802          13552.22915 

2014:14:13:01:54                       -68.37802          13552.22915 

2014:14:13:01:54                       -68.29705          13552.22915 

2014:14:13:01:54                       -68.29705          13552.22915 

2014:14:13:01:304                      -68.29705          13552.22915 

2014:14:13:01:304                      -68.29705          13552.22915 

2014:14:13:01:304                      -68.29705          13987.37002 

2014:14:13:01:304                      -68.29705          13987.37002 

2014:14:13:01:304                      -67.62879          13987.37002 

2014:14:13:01:304                      -67.62879          13987.37002 

2014:14:13:01:554                      -67.62879          13987.37002 

2014:14:13:01:554                      -67.62879          13987.37002 

2014:14:13:01:554                      -67.62879          14150.41261 

2014:14:13:01:554                      -67.62879          14150.41261 

2014:14:13:01:554                      -64.06883          14150.41261 

2014:14:13:01:554                      -64.06883          14150.41261 

2014:14:13:01:805                      -64.06883          14150.41261 

2014:14:13:01:805                      -64.06883          14150.41261 

2014:14:13:01:805                      -64.06883          14657.77372 

2014:14:13:01:805                      -64.06883          14657.77372 

2014:14:13:01:805                      -63.89394          14657.77372 

2014:14:13:01:805                      -63.89394          14657.77372 

2014:14:13:01:55                       -63.89394          14657.77372 

2014:14:13:01:55                       -63.89394          14657.77372 

2014:14:13:01:55                       -63.89394          14819.43903 

2014:14:13:01:55                       -63.89394          14819.43903 

2014:14:13:01:55                       -63.73206          14819.43903 

2014:14:13:01:55                       -63.73206          14819.43903 

2014:14:13:01:305                      -63.73206          14819.43903 

2014:14:13:01:305                      -63.73206          14819.43903 

2014:14:13:01:305                      -63.73206          15252.15967 

2014:14:13:01:305                      -63.73206          15252.15967 

2014:14:13:01:305                      -60.44342          15252.15967 

2014:14:13:01:305                      -60.44342          15252.15967 

2014:14:13:01:555                      -60.44342          15252.15967 

2014:14:13:01:555                      -60.44342          15252.15967 

2014:14:13:01:555                      -60.44342          15634.07867 

2014:14:13:01:555                      -60.44342          15634.07867 

2014:14:13:01:555                       -60.0293          15634.07867 

2014:14:13:01:555                       -60.0293          15634.07867 

2014:14:13:01:805                       -60.0293          15634.07867 

2014:14:13:01:805                       -60.0293          15634.07867 

2014:14:13:01:805                       -60.0293          15658.66351 

2014:14:13:01:805                       -60.0293          15658.66351 

2014:14:13:01:805                      -53.46817          15658.66351 

2014:14:13:01:805                      -53.46817          15658.66351 

2014:14:13:01:55                       -53.46817          15658.66351 

2014:14:13:01:55                       -53.46817          15658.66351 

2014:14:13:01:55                       -53.46817          16018.23727 

2014:14:13:01:55                       -53.46817          16018.23727 

2014:14:13:01:55                       -53.30668          16018.23727 

2014:14:13:01:55                       -53.30668          16018.23727 

2014:14:13:01:305                      -53.30668          16018.23727 

2014:14:13:01:305                      -53.30668          16018.23727 

2014:14:13:01:305                      -53.30668          16409.19184 

2014:14:13:01:305                      -53.30668          16409.19184 

2014:14:13:01:305                      -52.67792          16409.19184 

2014:14:13:01:305                      -52.67792          16409.19184 

2014:14:13:01:555                      -52.67792          16409.19184 

2014:14:13:01:555                      -52.67792          16409.19184 

2014:14:13:01:555                      -52.67792          16660.87038 

2014:14:13:01:555                      -52.67792          16660.87038 

2014:14:13:01:555                      -51.87022          16660.87038 

2014:14:13:01:555                      -51.87022          16660.87038 

2014:14:13:01:805                      -51.87022          16660.87038 

