
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:813                       -4.11294          25854.30412 

2014:14:13:01:813                       -4.11294          25854.30412 

2014:14:13:01:64                        -4.11294          25854.30412 

2014:14:13:01:64                        -4.11294          25854.30412 

2014:14:13:01:64                        -4.11294          25889.38686 

2014:14:13:01:64                        -4.11294          25889.38686 

2014:14:13:01:64                         0.79717          25889.38686 

2014:14:13:01:64                         0.79717          25889.38686 

2014:14:13:01:314                        0.79717          25889.38686 

2014:14:13:01:314                        0.79717          25889.38686 

2014:14:13:01:314                        0.79717          26926.58631 

2014:14:13:01:314                        0.79717          26926.58631 

2014:14:13:01:314                        1.38579          26926.58631 

2014:14:13:01:314                        1.38579          26926.58631 

2014:14:13:01:564                        1.38579          26926.58631 

2014:14:13:01:564                        1.38579          26926.58631 

2014:14:13:01:564                        1.38579          27185.03562 

2014:14:13:01:564                        1.38579          27185.03562 

2014:14:13:01:564                        2.99585          27185.03562 

2014:14:13:01:564                        2.99585          27185.03562 

2014:14:13:01:815                        2.99585          27185.03562 

2014:14:13:01:815                        2.99585          27185.03562 

2014:14:13:01:815                        2.99585          27583.98996 

2014:14:13:01:815                        2.99585          27583.98996 

2014:14:13:01:815                        4.96832          27583.98996 

2014:14:13:01:815                        4.96832          27583.98996 

2014:14:13:01:65                         4.96832          27583.98996 

2014:14:13:01:65                         4.96832          27583.98996 

2014:14:13:01:65                         4.96832           27637.9373 

2014:14:13:01:65                         4.96832           27637.9373 

2014:14:13:01:65                          5.3894           27637.9373 

2014:14:13:01:65                          5.3894           27637.9373 

2014:14:13:01:315                         5.3894           27637.9373 

2014:14:13:01:315                         5.3894           27637.9373 

2014:14:13:01:315                         5.3894          28354.17474 

2014:14:13:01:315                         5.3894          28354.17474 

2014:14:13:01:315                        6.28644          28354.17474 

2014:14:13:01:315                        6.28644          28354.17474 

2014:14:13:01:565                        6.28644          28354.17474 

2014:14:13:01:565                        6.28644          28354.17474 

2014:14:13:01:565                        6.28644          28937.95663 

2014:14:13:01:565                        6.28644          28937.95663 

2014:14:13:01:565                        8.77747          28937.95663 

2014:14:13:01:565                        8.77747          28937.95663 

2014:14:13:01:815                        8.77747          28937.95663 

2014:14:13:01:815                        8.77747          28937.95663 

2014:14:13:01:815                        8.77747          29497.08166 

2014:14:13:01:815                        8.77747          29497.08166 

2014:14:13:01:815                        9.16028          29497.08166 

2014:14:13:01:815                        9.16028          29497.08166 

2014:14:13:01:65                         9.16028          29497.08166 

2014:14:13:01:65                         9.16028          29497.08166 

2014:14:13:01:65                         9.16028          29559.20597 

2014:14:13:01:65                         9.16028          29559.20597 

2014:14:13:01:65                        10.25116          29559.20597 

2014:14:13:01:65                        10.25116          29559.20597 

2014:14:13:01:315                       10.25116          29559.20597 

2014:14:13:01:315                       10.25116          29559.20597 

2014:14:13:01:315                       10.25116          29753.15519 

2014:14:13:01:315                       10.25116          29753.15519 

2014:14:13:01:315                       15.37233          29753.15519 

2014:14:13:01:315                       15.37233          29753.15519 

2014:14:13:01:565                       15.37233          29753.15519 

2014:14:13:01:565                       15.37233          29753.15519 

2014:14:13:01:565                       15.37233          29866.30614 

2014:14:13:01:565                       15.37233          29866.30614 

2014:14:13:01:565                       16.40046          29866.30614 

2014:14:13:01:565                       16.40046          29866.30614 

2014:14:13:01:815                       16.40046          29866.30614 

2014:14:13:01:815                       16.40046          29866.30614 

2014:14:13:01:815                       16.40046          29977.77614 

2014:14:13:01:815                       16.40046          29977.77614 

2014:14:13:01:815                        21.2785          29977.77614 

2014:14:13:01:815                        21.2785          29977.77614 

2014:14:13:01:65                         21.2785          29977.77614 

2014:14:13:01:65                         21.2785          29977.77614 

2014:14:13:01:65                         21.2785          30409.85931 


Thread-0::End of file reached...

Thread-0::Read file complete, bytes read::7200 bytes written: 7200

Thread-1::FahrenheitToCelsiusFilter Exiting; bytes read: 7200 bytes written: 7200
Thread-2::FeetToMetersFilter Exiting; bytes read: 7200 bytes written: 72002014:14:13:01:65                         21.2785          30409.85931 

2014:14:13:01:65                        23.50627          30409.85931 

2014:14:13:01:65                        23.50627          30409.85931 


Thread-3::Sink Exiting; bytes read: 7200
